state,indicator_id,indicator,indicator_category,urban,rural,total,total_2005-06
Andhra Pradesh,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.5,7.3,7.6,
Andhra Pradesh,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,2.1,1.5,1.7,
Andhra Pradesh,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,0.8,0.7,0.7,
Andhra Pradesh,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,11.1,11,11,
Andhra Pradesh,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,3,3.9,3.6,
Andhra Pradesh,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,2,1.4,1.6,
Andhra Pradesh,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,35.9,32.5,33.6,
Andhra Pradesh,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,4.9,5.2,5.1,
Andhra Pradesh,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,16.2,10.9,12.5,
Andhra Pradesh,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),31.7,27.7,29,
Andhra Pradesh,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),62.4,51.9,55.5,
Andhra Pradesh,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),64.7,54.2,57.5,
Andhra Pradesh,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),86.3,81.9,83.4,
Andhra Pradesh,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),78.8,80.4,79.9,
Andhra Pradesh,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),29.2,48.2,42.1,
Andhra Pradesh,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),42.4,43.6,43.2,
Andhra Pradesh,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),3.8,5.3,4.8,
Andhra Pradesh,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),42.8,45.6,44.7,
Andhra Pradesh,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),58.9,69.9,66.3,
Andhra Pradesh,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),54.1,27.8,36.2,
Andhra Pradesh,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),77.6,63,67.5,
Andhra Pradesh,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),1,2.9,2.3,
Andhra Pradesh,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),19.7,30.5,26.8,
Andhra Pradesh,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),0.1,0.6,0.4,
Andhra Pradesh,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),29.6,37.7,34.9,
Andhra Pradesh,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),-38,37.8,37.8,
Andhra Pradesh,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),31.9,33.5,33.1,
Arunachal Pradesh,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,81.5,62.5,67.1,54.9
Arunachal Pradesh,2,Population below age 15 years (%),Population and Household Profile ,29.4,32.4,31.7,39.1
Arunachal Pradesh,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,973,953,958,930
Arunachal Pradesh,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,848,941,920,"1,071"
Arunachal Pradesh,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,80,58.3,62.9,32.4
Arunachal Pradesh,6,Households with electricity (%),Population and Household Profile ,99.2,85,88.7,76.9
Arunachal Pradesh,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,94.7,85,87.5,85
Arunachal Pradesh,8,Households using improved sanitation facility (%),Population and Household Profile ,73.3,57.1,61.3,39.6
Arunachal Pradesh,9,Households using clean fuel for cooking (%),Population and Household Profile ,87.4,30,45,31.5
Arunachal Pradesh,10,Households using iodized salt (%),Population and Household Profile ,99.4,99.3,99.3,98.8
Arunachal Pradesh,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,54.3,59.7,58.3,7
Arunachal Pradesh,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,80.9,60.1,65.6,52.7
Arunachal Pradesh,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,91.4,81.9,84.5,78.9
Arunachal Pradesh,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,51.1,23.7,31,15.1
Arunachal Pradesh,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,18.7,25.5,23.5,42
Arunachal Pradesh,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,15,25.5,22.6,30.6
Arunachal Pradesh,17,Total fertility rate (children per woman),Marriage and Fertility,1.7,2.3,2.1,3
Arunachal Pradesh,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,9.8,10.8,10.5,15.4
Arunachal Pradesh,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",19,24,23,61
Arunachal Pradesh,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",25,35,33,88
Arunachal Pradesh,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),26.5,33.3,31.7,43.2
Arunachal Pradesh,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),23.5,27.6,26.6,37.3
Arunachal Pradesh,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0,0.1,0,0.1
Arunachal Pradesh,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),3.5,3.4,3.4,3.4
Arunachal Pradesh,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),9.3,10.5,10.2,8.1
Arunachal Pradesh,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),2.3,1.2,1.4,2.8
Arunachal Pradesh,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),25.4,20.4,21.6,21.2
Arunachal Pradesh,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),15.9,11.7,12.7,8.4
Arunachal Pradesh,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,11.1,12.8,12.3,12.9
Arunachal Pradesh,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,51.2,51.2,51.2,50.5
Arunachal Pradesh,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),39.2,36.3,37,24.2
Arunachal Pradesh,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),37.3,23.6,26.8,22.4
Arunachal Pradesh,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),74.9,60.8,64.1,40.1
Arunachal Pradesh,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),11.1,7.5,8.3,7.3
Arunachal Pradesh,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),3.9,3.5,3.6,4.9
Arunachal Pradesh,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),85.8,90.5,89.2,na
Arunachal Pradesh,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),37.8,26.2,28.9,21.4
Arunachal Pradesh,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),12.9,24.5,20.5,na
Arunachal Pradesh,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),"9,640","5,028","6,474",na
Arunachal Pradesh,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),0.8,0.6,0.6,0
Arunachal Pradesh,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),6,8.7,8.1,na
Arunachal Pradesh,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),81.5,44.2,52.3,28.5
Arunachal Pradesh,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),59.5,38,42.7,19.5
Arunachal Pradesh,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),1.7,2.2,2.1,1.6
Arunachal Pradesh,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),82.8,45.7,53.8,30.2
Arunachal Pradesh,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),20.1,5.8,8.9,2.9
Arunachal Pradesh,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),42.2,32.8,37.5,9.9
Arunachal Pradesh,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),18.2,10,12.5,10.5
Arunachal Pradesh,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,44.2,36.4,38.2,28.4
Arunachal Pradesh,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,80.4,68,70.9,57.7
Arunachal Pradesh,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,62.8,51,53.7,55.8
Arunachal Pradesh,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,60,49.9,52.3,39.3
Arunachal Pradesh,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,63.4,51.9,54.6,38.3
Arunachal Pradesh,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,50.1,38.1,40.9,na
Arunachal Pradesh,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,49,36.8,39.4,15.8
Arunachal Pradesh,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,90.3,95.1,93.9,95.4
Arunachal Pradesh,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,8.7,4.5,5.5,3.2
Arunachal Pradesh,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),7,6.3,6.5,14.9
Arunachal Pradesh,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),76.6,62.8,66.1,31.7
Arunachal Pradesh,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),45.8,32.7,35.8,na
Arunachal Pradesh,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),57.1,41.1,44.9,35.5
Arunachal Pradesh,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),1.2,2.4,2.1,6.8
Arunachal Pradesh,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),48.7,33.9,37.5,39.3
Arunachal Pradesh,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,53.6,60.3,58.7,55
